"usia_bulan","jenis_kelamin","bb_bawah","bb_atas","bb_unit","tb_bawah","tb_atas","tb_unit","lk_bawah","lk_atas","lk_unit"
"0","L","805","1229","Gr/ Bln","7.7","9.3","Cm / 2 Bln","4.2","5.2","Cm / 2 Bln"
"1","L","992","1408","Gr/ Bln","6.3","7.7","Cm / 2 Bln","3","3.7","Cm / 2 Bln"
"2","L","658","980","Gr/ Bln","4.9","6.2","Cm / 2 Bln","2.2","2.8","Cm / 2 Bln"
"3","L","476","764","Gr/ Bln","3.9","5.1","Cm / 2 Bln","1.8","2.3","Cm / 2 Bln"
"4","L","383","666","Gr/ Bln","3.1","4.3","Cm / 2 Bln","1.5","2","Cm / 2 Bln"
"5","L","287","563","Gr/ Bln","2.7","3.8","Cm / 2 Bln","1.2","1.7","Cm / 2 Bln"
"6","L","223","496","Gr/ Bln","2.4","3.5","Cm / 2 Bln","1","1.4","Cm / 2 Bln"
"7","L","181","457","Gr/ Bln","2.3","3.4","Cm / 2 Bln","0.8","1.2","Cm / 2 Bln"
"8","L","148","429","Gr/ Bln","2.1","3.2","Cm / 2 Bln","0.7","1.1","Cm / 2 Bln"
"9","L","120","405","Gr/ Bln","2","3.1","Cm / 2 Bln","0.6","1","Cm / 2 Bln"
"10","L","100","394","Gr/ Bln","1.9","3","Cm / 2 Bln","0.5","0.9","Cm / 2 Bln"
"11","L","91","397","Gr/ Bln","1.8","2.9","Cm / 2 Bln","0.8","1.3","Cm / 4 Bln"
"12","L","236","648","Gr/ 2 Bln","1.8","2.8","Cm / 2 Bln","0.7","1.1","Cm / 4 Bln"
"13","L","212","626","Gr/ 2 Bln","1.7","2.8","Cm / 2 Bln","0.6","1","Cm / 4 Bln"
"14","L","197","614","Gr/ 2 Bln","1.6","2.7","Cm / 2 Bln","0.6","1","Cm / 4 Bln"
"15","L","193","615","Gr/ 2 Bln","1.5","2.6","Cm / 2 Bln","0.5","0.9","Cm / 4 Bln"
"16","L","192","619","Gr/ 2 Bln","1.5","2.5","Cm / 2 Bln","0.5","0.9","Cm / 4 Bln"
"17","L","188","617","Gr/ 2 Bln","1.4","2.5","Cm / 2 Bln","0.4","0.8","Cm / 4 Bln"
"18","L","182","611","Gr/ 2 Bln","1.4","2.4","Cm / 2 Bln","0.4","0.8","Cm / 4 Bln"
"19","L","176","605","Gr/ 2 Bln","1.3","2.4","Cm / 2 Bln","0.4","0.7","Cm / 4 Bln"
"20","L","171","599","Gr/ 2 Bln","1.3","2.4","Cm / 2 Bln","0.4","0.7","Cm / 4 Bln"
"21","L","167","596","Gr/ 2 Bln","1.2","2.3","Cm / 2 Bln","","",""
"22","L","164","594","Gr/ 2 Bln","1.2","2.3","Cm / 2 Bln","","",""
"0","P","697","1068","Gr/ Bln","7.1","8.7","Cm / 2 Bln","3.9","4.8","Cm / 2 Bln"
"1","P","829","1198","Gr/ Bln","5.7","7","Cm / 2 Bln","2.8","3.5","Cm / 2 Bln"
"2","P","571","869","Gr/ Bln","4.5","5.8","Cm / 2 Bln","2.1","2.6","Cm / 2 Bln"
"3","P","448","726","Gr/ Bln","3.7","4.9","Cm / 2 Bln","1.7","2.2","Cm / 2 Bln"
"4","P","355","627","Gr/ Bln","3","4.2","Cm / 2 Bln","1.4","1.9","Cm / 2 Bln"
"5","P","271","537","Gr/ Bln","2.6","3.7","Cm / 2 Bln","1.2","1.6","Cm / 2 Bln"
"6","P","214","480","Gr/ Bln","2.4","3.6","Cm / 2 Bln","1","1.4","Cm / 2 Bln"
"7","P","178","450","Gr/ Bln","2.3","3.4","Cm / 2 Bln","0.8","1.2","Cm / 2 Bln"
"8","P","139","412","Gr/ Bln","2.2","3.3","Cm / 2 Bln","0.6","1.1","Cm / 2 Bln"
"9","P","110","385","Gr/ Bln","2.1","3.2","Cm / 2 Bln","0.5","0.9","Cm / 2 Bln"
"10","P","95","378","Gr/ Bln","2","3.1","Cm / 2 Bln","0.5","0.9","Cm / 2 Bln"
"11","P","88","383","Gr/ Bln","1.9","3","Cm / 2 Bln","0.8","1.3","Cm / 4 Bln"
"12","P","238","626","Gr/ 2 Bln","1.8","2.9","Cm / 2 Bln","0.7","1.2","Cm / 4 Bln"
"13","P","227","621","Gr/ 2 Bln","1.8","2.8","Cm / 2 Bln","0.7","1.1","Cm / 4 Bln"
"14","P","220","622","Gr/ 2 Bln","1.7","2.8","Cm / 2 Bln","0.6","1","Cm / 4 Bln"
"15","P","216","627","Gr/ 2 Bln","1.6","2.7","Cm / 2 Bln","0.5","1","Cm / 4 Bln"
"16","P","212","631","Gr/ 2 Bln","1.6","2.7","Cm / 2 Bln","0.5","0.9","Cm / 4 Bln"
"17","P","205","631","Gr/ 2 Bln","1.5","2.6","Cm / 2 Bln","0.4","0.9","Cm / 4 Bln"
"18","P","196","628","Gr/ 2 Bln","1.4","2.5","Cm / 2 Bln","0.4","0.8","Cm / 4 Bln"
"19","P","188","626","Gr/ 2 Bln","1.4","2.5","Cm / 2 Bln","0.4","0.7","Cm / 4 Bln"
"20","P","178","620","Gr/ 2 Bln","1.3","2.4","Cm / 2 Bln","0.3","0.7","Cm / 4 Bln"
"21","P","164","608","Gr/ 2 Bln","1.3","2.4","Cm / 2 Bln","","",""
"22","P","150","596","Gr/ 2 Bln","1.2","2.3","Cm / 2 Bln","","",""
